"","Country","Year","Birth_Skilled_Professional","Mortality_Ratio1","Gross_Income"
"4157","Tonga","2000",NA,97,3700
"4169","Tonga","2012",95.5,NA,5370
"4172","Trinidad and Tobago","1990",NA,90,8040
"4182","Trinidad and Tobago","2000",NA,62,12980
"4198","Tunisia","1990",NA,131,3420
"4208","Tunisia","2000",NA,84,5620
"4219","Tunisia","2011",73.6,NA,9720
"4223","Turkey","1990",NA,97,4360
"4233","Turkey","2000",NA,79,9180
"4246","Turkey","2013",97.4,NA,18760
"4258","Turkmenistan","2000",NA,59,3990
"4263","Turkmenistan","2005",99.5,NA,5400
"4290","Tuvalu","2007",93.1,NA,5430
"4297","Uganda","1990",NA,687,410
"4307","Uganda","2000",NA,620,690
"4318","Uganda","2011",58,NA,1310
"4322","Ukraine","1990",NA,46,6960
"4332","Ukraine","2000",NA,34,3710
"4344","Ukraine","2012",99,NA,8670
"4367","United Arab Emirates","2010",100,NA,56260
"4372","United Kingdom of Great Britain and Northern Ireland","1990",NA,10,15770
"4382","United Kingdom of Great Britain and Northern Ireland","2000",NA,12,26280
"4397","United Republic of Tanzania","1990",NA,997,640
"4407","United Republic of Tanzania","2000",NA,842,820
"4417","United Republic of Tanzania","2010",48.9,NA,1500
"4422","United States of America","1990",NA,12,23730
"4432","United States of America","2000",NA,12,36930
"4448","Uruguay","1990",NA,37,6000
"4458","Uruguay","2000",NA,31,9960
"4471","Uruguay","2013",98.2,NA,18930
"4483","Uzbekistan","2000",NA,34,1940
"4489","Uzbekistan","2006",99.6,NA,2950
"4498","Vanuatu","1990",NA,225,1680
"4508","Vanuatu","2000",NA,144,2120
"4521","Vanuatu","2013",89.4,NA,2840
"4523","Venezuela (Bolivarian Republic of)","1990",NA,94,9260
"4533","Venezuela (Bolivarian Republic of)","2000",NA,90,11340
"4549","Viet Nam","1990",NA,139,910
"4559","Viet Nam","2000",NA,81,2070
"4572","Viet Nam","2013",93.8,NA,5030
"4574","Yemen","1990",NA,547,2210
"4584","Yemen","2000",NA,440,2930
"4597","Yemen","2013",43,NA,3820
"4599","Zambia","1990",NA,577,1500
"4609","Zambia","2000",NA,541,1590
"4622","Zambia","2013",64.2,NA,3070
"4624","Zimbabwe","1990",NA,440,1590
"4634","Zimbabwe","2000",NA,590,1890
